instance1,instance2,instance3
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
75,75,75
