instance1,instance2,instance3
68,65,61
80,76,64
56,91,59
96,52,90
56,83,97
60,65,92
89,77,55
87,50,77
99,52,88
50,50,94
83,72,73
89,53,84
60,75,89
84,57,86
97,75,59
92,93,78
93,86,52
92,85,74
64,52,78
64,91,70
68,95,53
69,76,62
55,81,84
59,76,67
87,56,54
75,91,58
78,88,75
69,86,79
60,93,81
98,88,61
90,89,65
75,72,78
65,73,67
91,60,88
68,87,98
61,70,50
71,70,65
87,62,65
94,79,99
77,54,63
59,90,71
82,59,83
76,66,66
78,77,84
66,65,73
58,80,62
70,87,79
79,62,76
90,52,52
95,59,56
87,71,65
91,59,57
79,79,77
98,57,96
76,83,99
70,87,77
68,55,66
93,93,51
81,85,66
67,78,95
93,61,72
56,79,73
95,83,50
75,72,61
75,81,53
90,55,73
55,87,54
91,77,59
73,85,62
57,85,89
91,83,84
86,90,96
58,68,66
73,89,86
94,65,66
54,82,52
98,79,68
89,85,79
62,81,90
81,64,81
73,76,60
66,94,56
85,50,94
74,71,86
65,70,59
74,84,82
99,99,90
91,95,83
74,50,74
86,87,68
70,91,69
83,66,66
67,56,56
63,96,96
59,55,92
98,93,71
59,52,59
95,66,95
88,83,87
58,98,52
62,52,64
83,93,80
71,71,61
99,70,66
81,98,88
66,94,51
60,80,82
92,88,65
89,51,81
79,84,58
74,60,71
95,94,76
73,85,85
68,52,75
95,91,81
87,53,54
63,91,85
67,60,79
89,76,55
94,50,78
97,89,68
57,83,87
66,76,55
63,65,72
77,78,79
53,92,78
67,74,95
71,99,50
63,95,74
84,54,79
83,94,71
55,54,57
89,93,98
82,68,72
53,73,91
54,82,90
94,85,50
79,93,93
74,75,71
85,94,89
90,68,83
63,58,66
55,59,78
97,96,57
77,58,92
73,55,93
76,56,94
92,75,52
69,71,51
82,89,50
53,87,75
96,90,64
90,84,59
87,72,55
68,70,98
55,97,84
72,87,51
51,85,70
95,59,51
64,81,89
71,94,66
91,67,69
80,76,61
54,94,69
60,59,96
51,75,52
63,79,68
79,87,84
54,98,91
72,54,56
62,61,78
74,78,51
99,58,83
69,85,58
73,67,57
83,85,97
61,52,82
75,99,92
75,92,80
67,58,58
53,51,63
86,74,77
81,69,50
52,61,58
98,62,56
88,59,94
87,58,62
65,64,70
90,67,85
72,56,56
64,64,68
78,54,68
51,64,60
89,81,86
90,70,83
79,76,93
87,74,56
59,55,78
87,95,61
51,91,82
76,70,65
77,53,81
77,83,66
63,64,58
98,88,93
56,91,74
85,63,97
87,80,95
76,65,95
74,51,62
62,91,98
56,66,78
90,72,50
89,83,74
96,63,78
52,60,57
52,98,98
85,58,59
92,85,66
67,91,65
72,87,78
81,60,69
56,88,53
89,76,66
52,79,62
74,56,51
98,82,61
72,62,83
79,68,57
70,58,80
95,51,99
85,82,84
80,64,58
84,89,75
94,86,68
61,81,82
67,84,57
80,53,50
98,89,50
92,75,97
53,75,97
60,73,50
97,90,82
78,63,85
97,66,89
60,74,65
87,61,90
98,54,84
61,87,73
57,62,84
83,71,70
71,75,50
70,90,92
90,97,91
95,78,86
83,51,93
66,80,52
70,52,72
84,83,68
97,88,90
99,83,75
55,85,94
68,77,59
88,72,93
88,93,72
70,95,68
87,85,66
66,84,89
77,76,66
86,83,81
58,68,98
58,54,68
74,63,76
57,92,69
87,63,93
99,93,89
67,68,79
86,89,89
93,84,86
64,91,56
83,78,76
77,58,70
62,85,90
59,62,84
55,99,77
90,75,52
93,62,52
97,75,66
64,93,71
88,88,65
63,61,88
60,93,83
63,53,79
50,96,58
66,99,81
51,66,90
52,94,71
55,74,51
63,83,71
69,61,85
63,65,53
58,93,81
89,95,79
54,99,51
57,58,79
79,69,70
67,97,70
80,54,61
67,79,99
60,91,91
68,62,71
93,58,65
96,82,82
51,84,87
68,83,91
84,61,50
68,87,63
52,61,81
90,50,94
87,68,50
65,60,84
85,89,87
79,71,53
82,69,61
67,63,65
84,76,75
84,57,65
72,94,70
52,81,67
66,58,73
57,69,72
93,98,64
97,83,80
90,63,82
65,74,63
90,57,82
83,74,60
93,85,87
70,66,73
99,96,69
55,57,53
75,76,67
53,51,69
78,95,98
98,74,87
60,71,89
52,86,85
92,51,52
93,54,87
61,57,75
92,94,77
84,52,66
86,70,67
64,55,72
69,92,75
93,90,96
56,72,99
87,88,66
63,77,74
97,65,54
66,70,60
69,92,80
77,58,54
74,54,99
51,82,56
64,66,52
62,89,99
88,75,54
92,91,73
99,63,63
81,76,82
53,92,70
77,53,65
73,55,69
60,81,58
52,77,98
96,78,78
56,83,57
88,56,82
95,95,89
85,93,86
85,51,56
96,53,72
97,90,75
63,97,56
87,98,82
55,79,89
85,98,55
65,93,74
59,66,65
96,87,61
90,99,50
87,67,52
74,63,92
82,92,67
75,63,99
55,98,97
62,72,66
84,99,79
77,69,99
97,60,82
55,82,68
94,68,85
91,67,81
65,98,54
97,68,52
70,73,80
82,73,57
88,50,51
64,72,78
84,97,61
75,53,74
91,82,76
93,85,56
63,98,74
54,64,92
50,97,77
56,81,68
68,77,70
56,82,82
56,60,91
74,59,50
59,56,65
88,90,98
76,61,50
95,60,70
64,83,63
99,78,72
92,65,60
58,60,64
81,70,67
90,71,82
67,89,87
60,87,60
64,53,76
92,65,71
64,52,60
73,65,92
76,87,81
56,86,59
63,88,96
62,54,55
50,73,89
93,97,50
61,63,63
90,69,66
73,57,63
94,55,50
63,59,83
