instance1,instance2,instance3
98,73,71
92,74,71
92,75,74
97,76,79
95,76,74
92,79,79
93,77,73
93,72,79
91,77,71
96,78,74
92,79,70
93,74,72
92,76,72
92,78,79
94,74,74
99,71,71
92,77,73
94,77,71
90,71,70
97,70,76
96,77,75
97,70,76
92,71,74
96,76,72
98,71,76
98,70,77
97,71,77
92,77,76
98,71,72
95,71,74
90,71,72
95,74,72
93,72,79
92,77,72
94,73,73
75,78,77
77,73,75
75,72,78
70,79,70
77,73,74
73,95,71
71,97,79
72,97,73
71,90,76
72,90,75
70,93,75
77,90,72
70,95,73
75,99,77
71,99,72
72,92,73
71,90,70
74,93,78
70,96,79
71,99,75
78,97,77
79,90,72
71,98,79
78,99,76
76,96,73
77,94,75
79,92,78
73,91,79
71,95,70
76,91,79
72,98,72
73,99,73
74,98,73
77,90,72
77,95,79
73,90,76
72,95,72
78,94,71
76,96,76
79,99,73
78,73,72
78,77,77
74,71,72
72,72,78
77,79,75
72,72,98
74,79,94
76,73,93
71,70,93
70,77,92
77,75,97
71,78,90
75,76,98
78,76,95
70,73,93
73,73,98
79,71,95
71,78,95
74,74,92
70,73,96
75,73,91
76,77,99
70,70,98
75,70,96
78,74,91
73,75,96
72,79,96
78,72,95
70,73,97
77,71,91
76,77,92
76,73,97
73,77,96
74,71,94
77,78,93
77,72,94
73,75,90
73,78,96
71,70,91
79,77,94
79,79,76
70,71,75
74,77,75
79,71,70
75,77,78
95,77,73
98,71,78
97,77,76
95,78,70
98,78,79
97,74,70
94,74,74
98,76,70
91,78,79
96,75,77
91,74,76
98,72,78
91,70,78
95,72,71
94,74,71
93,74,71
94,76,77
97,73,75
93,77,73
90,78,78
91,74,72
99,71,77
92,75,79
98,74,75
90,79,75
93,74,72
96,75,70
93,74,77
99,72,74
92,71,73
94,77,76
99,71,76
91,76,79
94,73,79
93,72,74
75,72,75
77,76,74
77,74,74
76,77,70
73,77,73
71,97,74
73,95,76
72,96,79
73,93,79
79,94,77
70,90,79
79,90,78
74,97,74
78,91,76
76,91,79
70,91,73
77,91,75
75,91,73
74,91,77
75,90,74
75,97,77
77,92,70
76,92,75
77,97,70
70,99,75
70,91,70
71,99,78
75,97,76
72,99,71
77,97,78
73,96,72
72,95,71
71,94,73
72,90,77
76,97,75
74,97,72
76,96,79
77,91,79
78,95,75
76,95,78
70,78,70
73,72,77
71,71,75
72,72,78
75,71,79
73,73,90
79,71,92
78,77,99
78,75,95
71,73,96
70,73,90
73,73,92
74,78,97
73,76,94
74,72,97
72,79,98
72,72,96
78,78,96
73,76,95
73,74,92
78,76,94
75,70,93
73,78,97
74,77,93
74,70,92
71,79,92
71,70,95
74,70,96
72,70,95
72,70,91
79,75,97
72,70,95
77,77,92
77,73,97
77,76,95
72,78,94
77,78,91
75,78,93
72,70,96
76,73,99
76,78,76
79,79,78
79,71,72
72,77,77
70,78,70
98,70,74
94,70,78
97,78,79
97,73,76
97,75,72
92,79,71
91,77,76
93,76,70
99,76,71
90,71,73
93,78,75
91,71,73
94,75,76
95,79,70
97,71,77
99,78,78
93,76,71
98,70,77
90,79,75
91,77,76
98,74,78
98,74,74
98,76,74
94,77,71
95,75,79
90,77,76
96,78,71
99,70,70
93,72,76
99,71,77
96,70,79
96,71,73
94,76,75
97,73,72
92,77,77
70,76,72
78,76,72
75,75,74
71,73,73
79,74,72
79,94,74
71,98,70
73,99,74
71,98,73
74,91,75
76,95,77
77,91,73
71,93,78
78,96,73
72,97,73
72,91,76
74,98,70
71,90,79
76,99,74
77,92,74
72,94,77
79,99,77
77,99,76
75,93,77
76,96,72
74,94,72
78,94,76
78,95,70
71,96,72
76,91,73
71,92,75
72,91,74
70,90,75
75,94,77
78,96,76
76,94,78
77,91,75
73,98,79
73,94,73
75,91,71
72,71,76
74,75,79
72,75,77
78,72,77
73,77,76
78,71,94
79,79,90
74,74,94
75,74,95
75,73,94
70,78,95
78,76,95
78,75,90
72,79,94
77,71,98
74,78,93
76,74,94
79,78,96
72,72,98
77,73,93
76,78,90
78,77,99
79,73,97
71,79,96
77,76,92
78,70,99
70,70,99
75,70,90
73,77,96
74,78,92
76,73,99
71,72,93
74,70,91
75,71,95
78,71,90
73,72,98
73,73,90
71,74,94
78,78,95
78,78,99
76,72,71
78,79,77
73,70,71
79,70,72
78,70,76
91,73,79
98,73,70
96,74,73
92,76,74
93,74,75
93,78,76
98,76,77
91,77,78
93,75,73
97,70,76
95,77,77
91,79,72
98,79,79
93,79,70
96,70,79
91,70,77
91,72,74
97,78,77
90,77,70
91,76,72
