instance1,instance2,instance3
72,76,80
76,81,98
62,89,82
64,81,80
61,72,83
70,86,80
69,72,89
78,76,89
61,81,80
61,77,82
63,79,99
67,82,87
64,73,94
64,71,93
65,83,98
77,85,82
61,73,90
78,88,83
68,84,85
69,87,99
64,76,82
71,79,96
62,82,84
66,70,82
74,78,99
72,87,83
65,78,85
62,79,92
78,89,92
72,70,81
60,82,98
71,76,90
76,79,84
64,81,88
75,72,92
70,85,96
74,76,99
68,76,93
63,74,87
77,79,81
69,79,84
70,80,91
60,86,89
74,78,81
75,72,87
78,79,90
74,85,96
64,86,83
79,82,94
78,73,80
72,85,95
75,83,84
68,71,86
62,80,82
64,73,85
64,72,98
77,70,89
74,71,84
66,74,86
63,82,85
61,78,98
76,87,92
78,83,81
63,77,91
75,79,99
64,70,80
68,84,80
72,78,89
72,73,86
74,70,94
75,75,85
60,80,96
74,76,98
79,71,87
70,84,96
67,74,90
78,76,90
67,89,98
69,85,87
68,77,84
71,71,85
72,79,81
61,77,85
67,75,92
78,75,83
78,89,90
62,79,88
71,88,89
63,81,80
73,78,96
70,84,89
64,85,92
64,70,88
74,85,83
77,72,86
60,84,85
76,73,87
71,71,80
69,89,84
66,81,86
64,71,95
66,76,81
78,89,88
72,74,94
69,78,94
62,75,98
65,85,93
77,89,84
61,72,94
64,76,93
65,85,84
75,84,89
60,84,82
60,73,94
70,89,93
61,85,82
67,84,99
71,89,84
74,75,81
71,75,89
75,81,95
62,84,88
67,74,97
67,74,84
65,74,84
62,74,86
75,80,98
64,86,89
73,76,85
65,84,99
71,83,96
77,86,89
68,88,88
72,88,89
66,73,90
78,81,98
66,89,81
70,76,80
77,70,95
70,70,96
66,81,85
64,76,91
62,76,86
66,81,83
77,78,81
78,85,88
79,83,80
62,70,96
72,84,95
77,71,98
60,80,94
78,74,93
65,78,94
75,82,89
79,74,87
64,87,83
76,78,84
68,86,91
69,86,86
68,70,83
74,86,94
63,85,84
60,76,85
70,75,95
61,81,92
74,89,97
69,77,94
78,74,83
71,75,83
68,87,91
79,89,88
67,70,92
68,75,81
75,83,89
73,73,85
62,84,82
70,86,92
60,79,96
76,89,99
79,71,95
68,72,82
79,79,98
70,78,97
63,89,82
68,72,82
68,73,85
70,89,85
68,78,87
77,77,88
62,79,99
77,84,91
74,89,97
78,72,99
68,87,99
70,78,99
70,88,91
72,78,95
63,84,94
66,87,94
75,78,99
69,79,81
74,79,86
67,80,96
74,88,86
61,76,98
67,81,98
67,71,83
69,84,92
79,75,93
73,71,83
77,86,98
77,86,80
64,85,93
62,71,93
65,88,91
62,80,91
67,74,97
72,75,91
65,81,87
79,87,89
76,79,91
79,86,89
71,70,94
72,81,96
62,82,90
67,79,83
68,80,91
61,76,97
63,83,88
68,77,99
64,85,87
64,79,97
66,82,90
76,73,94
69,85,93
79,80,92
69,73,87
65,85,83
78,74,86
64,75,90
60,73,81
67,71,88
65,83,85
64,77,92
64,72,86
69,79,83
73,78,99
73,80,92
64,72,83
72,75,97
60,82,83
74,74,93
71,73,83
64,87,96
72,70,82
76,84,85
76,88,81
76,74,91
69,89,93
69,75,96
60,84,86
67,76,95
65,89,86
68,80,99
63,79,88
70,78,87
76,73,84
63,77,99
60,80,97
61,72,99
73,70,82
64,72,87
61,86,85
68,83,85
62,71,94
71,85,84
64,89,95
64,76,81
63,73,88
74,86,80
67,82,94
79,78,84
73,83,93
62,79,83
72,71,84
78,89,90
74,75,97
70,80,83
65,87,95
69,73,83
64,82,82
74,72,80
61,88,94
67,84,94
74,89,86
65,84,84
75,71,81
68,88,82
63,88,85
79,88,98
67,71,95
69,76,98
77,79,94
67,75,92
64,85,84
68,86,87
79,84,97
70,72,98
72,86,95
67,80,86
72,73,95
69,84,81
62,82,84
69,72,96
75,87,95
62,72,92
64,72,99
60,81,80
77,89,96
74,78,96
75,70,93
68,75,93
61,78,97
63,89,98
67,82,80
77,77,86
62,84,94
61,89,90
68,88,84
69,88,98
60,74,90
72,85,99
65,81,97
67,82,96
73,81,95
66,84,87
66,85,91
64,77,87
77,77,96
65,85,84
65,72,83
74,77,97
70,84,93
68,83,87
66,84,91
62,72,91
60,80,91
75,88,90
75,83,86
75,88,89
71,78,88
61,70,96
61,76,97
61,71,90
72,80,89
78,71,89
66,74,85
72,78,84
79,87,92
61,79,82
79,88,84
63,73,89
62,75,93
68,87,80
79,84,96
66,86,95
68,77,90
76,87,90
69,70,89
60,70,85
60,88,85
79,77,82
79,87,81
72,89,90
71,88,97
67,82,89
70,71,86
67,71,87
64,84,83
70,79,86
78,80,86
66,79,98
68,70,96
78,73,84
63,71,83
72,86,92
67,80,80
74,87,82
75,77,95
60,85,80
68,76,94
60,72,91
69,70,80
68,88,82
74,87,87
60,77,90
66,74,84
69,79,88
74,72,85
77,86,86
63,88,96
61,84,87
65,70,93
79,85,80
73,86,97
77,73,89
78,73,90
78,76,91
66,84,91
69,74,86
77,73,80
76,71,97
67,75,95
79,79,92
68,80,92
64,71,92
72,81,85
79,88,91
73,82,91
72,71,82
71,85,97
